0,97,110,3
1,318,705,4
2,21,104,3
3,663,802,4
4,520,927,4
5,985,521,4
6,255,413,3
7,755,624,4
8,306,341,3
9,2,691,3
10,630,121,3
11,659,945,4
12,845,965,4
13,717,454,4
14,955,652,4
15,849,581,4
16,414,624,4
17,545,992,4
18,104,143,3
19,723,550,4
20,233,673,3
21,811,119,3
22,332,363,3
23,122,649,3
24,841,452,4
25,401,616,4
26,657,139,3
27,64,725,3
28,1000,33,4
29,658,408,4
30,85,71,3
31,960,88,4
32,896,717,4
33,689,85,3
34,1,418,3
35,720,785,4
36,671,275,3
37,519,166,3
38,433,937,4
39,148,797,3
40,318,465,3
41,714,551,4
42,557,441,3
43,94,45,3
44,798,973,4
45,466,594,4
46,287,94,3
47,490,166,3
48,445,935,4
49,848,966,4
50,477,994,4
51,238,114,3
52,92,950,4
53,2,850,3
54,55,650,3
55,419,601,4
56,255,844,4
57,694,25,3
58,676,568,4
59,962,765,4
60,891,539,4
61,210,876,4
62,796,305,4
63,855,714,4
64,295,986,4
65,994,924,4
66,486,349,3
67,208,49,3
68,228,412,3
69,730,441,4
70,813,193,4
71,780,19,3
72,467,155,3
73,930,934,4
74,297,703,4
75,698,284,3
76,747,65,3
77,625,767,4
78,591,336,3
79,742,233,3
80,508,176,3
81,101,829,3
82,76,654,3
83,420,638,4
84,272,557,3
85,217,399,3
86,71,171,3
87,715,725,4
88,902,260,4
89,261,844,4
90,189,477,3
91,204,47,3
92,615,640,4
93,893,96,3
94,885,530,4
95,115,622,3
96,632,957,4
97,438,155,3
98,399,50,3
99,26,412,3
100,897,696,4
101,784,880,4
102,288,335,3
103,338,74,3
104,799,367,4
105,700,205,3
106,444,234,3
107,897,522,4
108,868,509,4
109,806,952,4
110,209,692,3
111,127,750,3
112,618,415,4
113,901,672,4
114,108,355,3
115,763,718,4
116,578,475,4
117,507,303,3
118,170,589,3
119,921,728,4
120,330,416,3
121,239,761,4
122,783,969,4
123,417,260,3
124,940,538,4
125,555,136,3
126,575,175,3
127,121,477,3
128,599,586,4
129,898,109,4
130,359,71,3
131,135,538,3
132,767,898,4
133,784,623,4
134,6,190,3
135,743,94,3
136,609,446,4
137,912,265,4
138,695,826,4
139,725,425,4
140,783,641,4
141,625,797,4
142,416,726,4
143,88,721,3
144,184,46,3
145,987,39,4
146,624,549,4
147,176,322,3
148,706,380,4
149,816,807,4
150,989,191,4
151,84,605,3
152,403,198,3
153,115,211,3
154,290,982,4
155,986,137,4
156,323,772,4
157,121,212,3
158,535,767,4
159,406,489,3
160,22,316,3
161,896,251,4
162,934,346,4
163,622,250,3
164,763,70,3
165,330,659,3
166,851,423,4
167,223,70,3
168,868,453,4
169,729,196,3
170,943,360,4
171,591,541,4
172,462,885,4
173,919,920,4
174,123,239,3
175,50,178,3
176,722,895,4
177,797,454,4
178,227,56,3
179,379,371,3
180,319,518,3
181,78,814,3
182,997,750,4
183,961,929,4
184,141,399,3
185,954,425,4
186,473,392,3
187,191,726,3
188,724,655,4
189,426,715,4
190,856,553,4
191,827,218,4
192,963,833,4
193,900,716,4
194,212,280,3
195,938,785,4
196,924,722,4
197,421,900,4
198,752,935,4
199,158,600,3
200,340,868,4
201,494,655,4
202,374,39,3
203,584,390,3
204,407,420,3
205,490,951,4
206,779,15,3
207,344,686,4
208,882,356,4
209,526,939,4
210,559,373,3
211,569,241,3
212,86,629,3
213,575,454,4
214,726,239,3
215,24,369,3
216,950,59,4
217,298,695,3
218,896,484,4
219,114,475,3
220,342,290,3
221,489,922,4
222,100,994,4
223,727,203,3
224,399,325,3
225,271,392,3
226,334,392,3
227,755,314,4
228,659,374,4
229,23,672,3
230,911,488,4
231,892,225,4
232,901,517,4
233,107,659,3
234,122,206,3
235,519,461,3
236,567,712,4
237,955,716,4
238,116,155,3
239,194,906,4
240,361,609,3
241,563,741,4
242,739,919,4
243,985,177,4
244,889,830,4
245,227,682,3
246,454,387,3
247,66,372,3
248,127,430,3
249,599,59,3
250,826,239,4
251,429,387,3
252,610,430,4
253,284,943,4
254,313,611,3
255,517,455,3
256,106,382,3
257,331,411,3
258,257,515,3
259,835,418,4
260,893,488,4
261,906,214,4
262,216,113,3
263,351,604,3
264,394,604,3
265,863,437,4
266,358,646,4
267,657,65,3
268,208,181,3
269,299,742,4
270,176,149,3
271,437,437,3
272,570,470,4
273,852,233,4
274,11,166,3
275,636,752,4
276,184,344,3
277,669,542,4
278,318,198,3
279,124,225,3
280,862,906,4
281,542,485,4
282,94,278,3
283,33,504,3
284,16,696,3
285,459,953,4
286,302,976,4
287,841,562,4
288,183,715,3
289,487,146,3
290,944,962,4
291,1,522,3
292,829,359,4
293,58,772,3
294,722,127,3
295,733,77,3
296,897,186,4
297,825,930,4
298,826,685,4
299,251,517,3
300,751,924,4
301,90,775,3
302,379,836,4
303,597,340,3
304,111,383,3
305,556,947,4
306,574,519,4
307,892,176,4
308,626,531,4
309,58,52,3
310,187,555,3
311,598,137,3
312,903,375,4
313,464,452,3
314,936,774,4
315,634,796,4
316,793,549,4
317,3,932,3
318,672,389,4
319,358,625,3
320,244,234,3
321,401,731,4
322,310,333,3
323,534,249,3
324,648,175,3
325,302,942,4
326,975,790,4
327,257,856,4
328,510,857,4
329,924,201,4
330,341,446,3
331,326,357,3
332,700,99,3
333,740,161,3
334,905,736,4
335,722,388,4
336,960,63,4
337,989,549,4
338,182,522,3
339,696,292,3
340,232,813,4
341,532,168,3
342,32,568,3
343,214,804,4
344,494,891,4
345,453,994,4
346,830,902,4
347,788,494,4
348,897,733,4
349,796,212,4
350,570,612,4
351,996,390,4
352,426,107,3
353,701,905,4
354,969,357,4
355,64,256,3
356,271,940,4
357,864,464,4
358,26,195,3
359,703,431,4
360,235,267,3
361,88,655,3
362,911,173,4
363,680,219,3
364,41,908,3
365,41,231,3
366,854,257,4
367,700,666,4
368,299,28,3
369,552,929,4
370,707,190,3
371,106,701,3
372,206,111,3
373,817,574,4
374,494,452,3
375,863,2,3
376,860,294,4
377,961,916,4
378,760,874,4
379,786,831,4
380,740,127,3
381,904,74,3
382,750,289,4
383,576,906,4
384,131,586,3
385,818,958,4
386,582,108,3
387,128,994,4
388,457,349,3
389,56,975,4
390,606,597,4
391,550,188,3
392,234,263,3
393,284,866,4
394,199,736,3
395,911,382,4
396,487,682,4
397,735,868,4
398,72,875,3
399,547,243,3
400,838,539,4
401,850,740,4
402,689,476,4
403,364,851,4
404,741,381,4
405,506,97,3
406,760,732,4
407,137,108,3
408,231,556,3
409,920,885,4
410,685,85,3
411,117,55,3
412,27,79,3
413,774,310,4
414,580,215,3
415,297,618,3
416,7,322,3
417,319,447,3
418,538,931,4
419,751,314,4
420,738,989,4
421,199,73,3
422,862,711,4
423,897,443,4
424,411,934,4
425,832,12,3
426,925,73,3
427,678,168,3
428,69,775,3
429,803,72,3
430,89,335,3
431,850,953,4
432,242,807,4
433,398,19,3
434,838,141,3
435,973,687,4
436,710,70,3
437,869,42,3
438,131,173,3
439,786,376,4
440,305,741,4
441,849,246,4
442,129,910,4
443,404,650,4
444,400,99,3
445,70,411,3
446,124,663,3
447,180,374,3
448,451,748,4
449,41,639,3
450,658,143,3
451,825,580,4
452,835,769,4
453,6,484,3
454,124,88,3
455,988,10,3
456,56,170,3
457,421,845,4
458,197,507,3
459,176,557,3
460,932,644,4
461,144,131,3
462,799,58,3
463,545,597,4
464,752,93,3
465,519,695,4
466,985,927,4
467,699,714,4
468,457,709,4
469,323,411,3
470,239,3,3
471,230,542,3
472,918,57,3
473,763,451,4
474,998,140,4
475,347,402,3
476,690,162,3
477,937,69,4
478,943,14,3
479,166,130,3
480,739,331,4
481,793,409,4
482,838,646,4
483,317,398,3
484,58,788,3
485,389,217,3
486,347,987,4
487,832,851,4
488,984,582,4
489,779,70,3
490,703,283,3
491,710,879,4
492,319,926,4
493,371,953,4
494,446,713,4
495,492,990,4
496,327,417,3
497,297,300,3
498,518,165,3
499,34,735,3
500,200,992,4
501,703,626,4
502,321,987,4
503,932,14,3
504,892,433,4
505,631,147,3
506,202,239,3
507,405,541,3
508,132,724,3
509,78,696,3
510,341,162,3
511,747,960,4
512,821,552,4
513,665,415,4
514,447,733,4
515,612,830,4
516,285,260,3
517,65,824,3
518,905,319,4
519,6,246,3
520,977,133,4
521,911,369,4
522,915,257,4
523,227,374,3
524,853,856,4
525,599,903,4
526,688,325,4
527,890,412,4
528,212,433,3
529,350,165,3
530,942,800,4
531,525,483,4
532,12,581,3
533,525,918,4
534,474,839,4
535,586,28,3
536,628,800,4
537,794,579,4
538,482,91,3
539,742,93,3
540,348,292,3
541,635,329,3
542,376,878,4
543,408,69,3
544,263,20,3
545,452,511,3
546,847,81,3
547,37,511,3
548,238,410,3
549,537,568,4
550,68,591,3
551,972,447,4
552,129,340,3
553,469,78,3
554,610,692,4
555,976,778,4
556,655,357,4
557,31,593,3
558,10,649,3
559,471,756,4
560,623,485,4
561,242,699,3
562,177,615,3
563,845,77,3
564,469,27,3
565,569,678,4
566,603,465,4
567,369,128,3
568,981,696,4
569,597,570,4
570,662,264,3
571,525,3,3
572,577,562,4
573,580,296,3
574,175,853,4
575,841,398,4
576,487,218,3
577,825,452,4
578,792,1000,4
579,950,178,4
580,687,537,4
581,219,91,3
582,383,541,3
583,712,822,4
584,537,512,4
585,534,641,4
586,35,333,3
587,681,447,4
588,444,549,3
589,577,909,4
590,545,523,4
591,900,627,4
592,930,992,4
593,676,880,4
594,321,176,3
595,453,719,4
596,483,856,4
597,152,240,3
598,991,828,4
599,655,571,4
600,252,527,3
601,598,706,4
602,675,742,4
603,995,605,4
604,10,852,3
605,823,90,3
606,843,110,3
607,552,897,4
608,217,434,3
609,633,753,4
610,4,294,3
611,702,433,4
612,229,300,3
613,793,499,4
614,505,128,3
615,577,932,4
616,314,926,4
617,470,154,3
618,695,226,3
619,5,675,3
620,379,968,4
621,40,872,3
622,639,336,3
623,240,252,3
624,684,900,4
625,898,337,4
626,130,577,3
627,500,586,4
628,512,372,3
629,77,628,3
630,23,994,4
631,793,522,4
632,462,997,4
633,446,990,4
634,442,775,4
635,200,635,3
636,956,467,4
637,677,776,4
638,183,567,3
639,452,217,3
640,60,350,3
641,751,72,3
642,202,535,3
643,244,773,4
644,637,620,4
645,759,482,4
646,499,485,3
647,846,825,4
648,898,215,4
649,941,938,4
650,838,24,3
651,538,290,3
652,983,612,4
653,912,846,4
654,60,722,3
655,277,338,3
656,828,544,4
657,655,380,4
658,338,430,3
659,965,658,4
660,800,756,4
661,855,562,4
662,885,667,4
663,777,791,4
664,142,464,3
665,634,548,4
666,530,52,3
667,876,807,4
668,187,74,3
669,478,668,4
670,309,310,3
671,820,31,3
672,601,557,4
673,666,587,4
674,86,552,3
675,897,975,4
676,666,31,3
677,808,446,4
678,472,319,3
679,602,837,4
680,702,29,3
681,769,153,3
682,370,761,4
683,254,93,3
684,483,900,4
685,134,761,3
686,369,671,4
687,113,688,3
688,815,408,4
689,795,445,4
690,206,160,3
691,945,580,4
692,64,595,3
693,62,6,2
694,7,365,3
695,989,998,4
696,240,474,3
697,924,647,4
698,703,181,3
699,912,406,4
700,206,659,3
701,544,715,4
702,828,375,4
703,661,901,4
704,40,867,3
705,550,507,4
706,189,752,3
707,20,496,3
708,270,753,4
709,212,890,4
710,583,287,3
711,880,290,4
712,416,905,4
713,539,150,3
714,167,704,3
715,86,747,3
716,746,760,4
717,398,618,4
718,90,917,4
719,146,295,3
720,916,930,4
721,492,216,3
722,421,392,3
723,40,156,3
724,953,200,4
725,517,817,4
726,465,294,3
727,338,309,3
728,194,698,3
729,972,549,4
730,975,638,4
731,595,588,4
732,23,936,3
733,57,578,3
734,129,389,3
735,862,45,3
736,502,795,4
737,963,619,4
738,829,930,4
739,449,91,3
740,896,766,4
741,313,715,4
742,860,810,4
743,513,181,3
744,346,644,3
745,402,649,4
746,794,369,4
747,671,157,3
748,11,395,3
749,780,382,4
750,672,672,4
751,496,152,3
752,368,231,3
753,25,93,3
754,899,361,4
755,106,817,3
756,983,647,4
757,248,487,3
758,88,156,3
759,630,371,4
760,272,560,3
761,679,693,4
762,194,602,3
763,999,400,4
764,730,846,4
765,133,774,3
766,17,238,3
767,630,914,4
768,270,768,4
769,61,982,4
770,177,385,3
771,392,997,4
772,762,652,4
773,946,605,4
774,130,662,3
775,654,692,4
776,939,723,4
777,539,680,4
778,278,323,3
779,213,639,3
780,204,293,3
781,585,531,4
782,531,712,4
783,394,225,3
784,70,478,3
785,300,584,3
786,904,761,4
787,632,123,3
788,601,637,4
789,256,210,3
790,794,744,4
791,142,532,3
792,139,561,3
793,883,807,4
794,503,586,4
795,198,991,4
796,856,259,4
797,377,827,4
798,7,337,3
799,48,792,3
800,634,96,3
801,629,617,4
802,856,957,4
803,82,476,3
804,312,123,3
805,638,304,3
806,27,73,3
807,213,948,4
808,416,640,4
809,984,171,4
810,914,616,4
811,113,264,3
812,849,938,4
813,19,610,3
814,557,282,3
815,195,522,3
816,751,963,4
817,211,971,4
818,276,272,3
819,980,572,4
820,954,874,4
821,139,451,3
822,652,830,4
823,665,237,3
824,816,836,4
825,512,861,4
826,455,799,4
827,559,476,4
828,947,479,4
829,960,605,4
830,318,996,4
831,621,331,3
832,543,719,4
833,67,304,3
834,723,705,4
835,397,307,3
836,869,720,4
837,925,891,4
